Counter,Date/Time,OrientPitch,OrientRoll,OrientYaw,MagnetX,MagnetY,MagnetZ,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,Lat,Long
1,2022-05-13 20:11:04.355141,-0.4176,1.0598,0.7599,4.7581,-0.071,3.8864,-0.0013,0.0029,-0.0011,0.0198,0.0407,0.0246,21.4089,134.3679
2,2022-05-13 20:11:09.451237,-0.4166,1.06,0.7459,10.0483,-0.2341,7.7236,-0.0001,0.0029,-0.0002,0.0159,0.042,0.0249,21.1615,134.5819
3,2022-05-13 20:11:14.547309,-0.4161,1.0594,0.7607,12.4215,-0.1518,9.4921,-0.0019,0.0013,-0.0005,0.0193,0.041,0.0268,20.9139,134.795
4,2022-05-13 20:11:19.656843,-0.4133,1.0441,0.7534,13.2546,-0.5625,9.9656,-0.0036,0.0004,0.0018,0.0168,0.0412,0.0246,20.6652,135.008
5,2022-05-13 20:11:24.764560,-0.4134,1.036,0.7442,13.3777,-0.6779,9.946,0.0011,0.0002,-0.0003,0.0178,0.0403,0.0249,20.4164,135.22
6,2022-05-13 20:11:31.155022,-0.4123,1.0369,0.7384,13.4019,-0.5944,10.1035,-0.0008,-0.0007,-0.0003,0.0154,0.041,0.0268,20.1046,135.4843
7,2022-05-13 20:11:36.251034,-0.4136,1.0219,0.7332,13.4794,-0.4198,9.2702,-0.0007,-0.0016,-0.0013,0.0215,0.0405,0.0251,19.8556,135.6943
8,2022-05-13 20:11:41.357773,-0.4105,1.032,0.6996,13.416,-0.436,9.489,-0.0001,0.0003,-0.0,0.0205,0.0422,0.0249,19.6058,135.9039
9,2022-05-13 20:11:46.467818,-0.3997,1.0175,0.7,13.466,-0.527,9.2345,-0.0,-0.0009,-0.0012,0.0181,0.042,0.0259,19.3555,136.113
10,2022-05-13 20:11:51.574894,-0.3916,1.0113,0.6862,13.4873,-0.6933,8.9688,0.0003,0.0,0.0,0.019,0.0407,0.0266,19.1051,136.3213
11,2022-05-13 20:11:57.548352,-0.396,0.9977,0.6907,13.4463,-0.9857,8.4882,0.0016,-0.0003,0.0008,0.0183,0.0427,0.0254,18.8119,136.5639
12,2022-05-13 20:12:02.658010,-0.3939,0.9983,0.6877,13.3182,-0.8746,7.9438,-0.0005,-0.0003,0.0024,0.0181,0.0415,0.0261,18.5607,136.7708
13,2022-05-13 20:12:07.757904,-0.3918,1.004,0.6681,13.3792,-1.1235,8.0177,0.0007,-0.0009,0.0005,0.0161,0.0405,0.0249,18.3097,136.9766
14,2022-05-13 20:12:12.863546,-0.3836,1.0047,0.6559,13.3767,-0.9961,8.1875,0.0028,-0.0012,-0.001,0.0166,0.041,0.0264,18.0582,137.182
15,2022-05-13 20:12:17.970589,-0.383,1.0179,0.6462,13.3978,-0.9089,7.7068,-0.0003,-0.0005,0.0006,0.0139,0.0417,0.0256,17.8063,137.3868
16,2022-05-13 20:12:23.942556,-0.3708,1.0128,0.6255,13.1704,-0.9478,7.4964,-0.0026,-0.0008,0.0015,0.0215,0.0422,0.0271,17.5115,137.6255
17,2022-05-13 20:12:29.038009,-0.3777,1.0169,0.612,13.1912,-1.1039,7.3534,0.0002,-0.0022,-0.0006,0.0159,0.0415,0.0261,17.2596,137.8284
18,2022-05-13 20:12:34.139074,-0.3634,1.0184,0.5991,13.0983,-0.9544,7.0781,0.0017,-0.0016,0.0,0.0188,0.0407,0.0254,17.0072,138.031
19,2022-05-13 20:12:39.233991,-0.3569,1.0285,0.5898,13.3218,-0.8173,6.6519,0.0005,-0.0,0.001,0.0224,0.0417,0.0278,16.7549,138.2328
20,2022-05-13 20:12:44.340547,-0.3549,1.0263,0.5827,13.6521,-0.9461,6.5759,-0.0026,-0.0012,0.0007,0.0181,0.0422,0.0268,16.5018,138.4344
21,2022-05-13 20:12:50.679842,-0.3547,1.0375,0.5496,13.3365,-0.8318,6.5968,0.001,-0.0023,-0.0001,0.0168,0.041,0.029,16.1871,138.6839
22,2022-05-13 20:12:55.773669,-0.3545,1.033,0.5414,13.1264,-0.7306,6.7068,-0.0002,-0.0008,0.0002,0.0159,0.0415,0.0266,15.9341,138.8837
23,2022-05-13 20:13:01.029712,-0.3514,1.0511,0.5407,13.0223,-0.6579,5.6626,-0.0005,-0.0011,-0.0019,0.0207,0.0427,0.0273,15.6727,139.0893
24,2022-05-13 20:13:06.252264,-0.3627,1.0413,0.5339,12.9594,-1.0168,4.9187,0.0001,0.0004,0.0011,0.0229,0.0405,0.0261,15.4128,139.293
25,2022-05-13 20:13:11.478157,-0.359,1.0287,0.5276,13.1274,-0.8963,4.8209,0.0011,-0.0006,0.0011,0.0188,0.0407,0.0259,15.1525,139.4963
26,2022-05-13 20:13:17.896411,-0.3543,1.0274,0.5134,13.0536,-0.9397,4.7884,-0.0014,0.0001,0.0011,0.0139,0.0403,0.0281,14.8325,139.7452
27,2022-05-13 20:13:25.202239,-0.3614,1.0274,0.4841,13.2312,-1.3015,4.8702,0.0017,0.001,0.0008,0.0203,0.041,0.0261,14.4678,140.0276
28,2022-05-13 20:13:30.328081,-0.3731,1.0201,0.4759,13.0247,-1.1301,5.3441,0.0002,-0.0007,0.0001,0.0142,0.0407,0.0288,14.2117,140.2251
29,2022-05-13 20:13:35.454382,-0.3731,1.0092,0.4565,12.9644,-1.1875,4.5179,0.0033,-0.0,0.0016,0.0178,0.0405,0.0232,13.9553,140.4221
30,2022-05-13 20:13:40.581175,-0.3613,1.0142,0.4395,13.042,-1.4222,4.264,0.0026,0.0012,0.0007,0.0195,0.042,0.0256,13.6988,140.6186
31,2022-05-13 20:13:46.519824,-0.3708,1.0058,0.4274,12.7553,-1.4062,3.543,-0.0004,-0.0006,-0.0005,0.0178,0.0415,0.0259,13.4014,140.8457
32,2022-05-13 20:13:51.634218,-0.3655,1.0048,0.4204,12.6985,-1.5513,3.4685,-0.0004,0.0015,0.0002,0.0149,0.0412,0.0244,13.145,141.0408
33,2022-05-13 20:13:56.737688,-0.373,1.0026,0.4099,12.6793,-1.5359,3.017,-0.0024,-0.0044,0.0004,0.0156,0.0407,0.0249,12.889,141.235
34,2022-05-13 20:14:01.816990,-0.3701,1.0031,0.3993,12.5542,-1.5757,2.1236,-0.0003,0.0011,0.001,0.0151,0.0407,0.0254,12.634,141.4279
35,2022-05-13 20:14:06.911370,-0.3714,1.0023,0.3787,12.3881,-1.3642,2.0329,0.0004,-0.0001,0.0013,0.0217,0.0422,0.0264,12.3781,141.6209
36,2022-05-13 20:14:12.853881,-0.3835,0.9884,0.3623,12.3064,-1.5406,2.0352,0.0011,-0.0001,0.0009,0.0161,0.0412,0.0264,12.0794,141.8455
37,2022-05-13 20:14:17.948803,-0.3832,0.9842,0.3477,12.7788,-1.5612,2.2868,-0.0011,-0.0009,0.0006,0.02,0.041,0.0251,11.8232,142.0375
38,2022-05-13 20:14:23.055745,-0.3895,0.9654,0.341,12.5113,-1.7139,1.3316,-0.0004,-0.0003,-0.0013,0.02,0.0427,0.0281,11.5661,142.2297
39,2022-05-13 20:14:28.150183,-0.3891,0.9618,0.3219,12.6849,-1.6912,0.9765,0.0006,-0.0009,0.0005,0.0151,0.0407,0.0254,11.3096,142.4211
40,2022-05-13 20:14:33.257080,-0.3935,0.9687,0.3019,12.7789,-1.6202,0.9711,0.002,-0.0005,0.0005,0.0137,0.04,0.0251,11.0522,142.6124
41,2022-05-13 20:14:39.558560,-0.3964,0.9718,0.2778,12.5676,-1.7899,0.8955,0.0005,-0.0001,-0.0007,0.0146,0.0417,0.0273,10.7345,142.8481
42,2022-05-13 20:14:44.664992,-0.3924,0.9714,0.2665,12.545,-1.862,0.4552,-0.0012,-0.0013,0.0019,0.0156,0.04,0.0244,10.4768,143.0387
43,2022-05-13 20:14:49.768392,-0.3826,0.9674,0.2505,12.7072,-1.721,0.0627,-0.0006,-0.001,-0.0023,0.0154,0.0412,0.0242,10.2192,143.2287
44,2022-05-13 20:14:54.866875,-0.3865,0.9689,0.235,12.8267,-1.7616,0.1694,0.0012,-0.001,-0.0011,0.0203,0.041,0.0242,9.9617,143.4183
45,2022-05-13 20:14:59.967975,-0.3764,0.9842,0.213,12.8804,-2.1862,0.1142,-0.001,-0.0001,0.0002,0.0198,0.0429,0.0249,9.7038,143.6076
46,2022-05-13 20:15:05.852564,-0.3703,0.9938,0.2025,12.5775,-2.2317,-0.546,0.0006,0.0007,-0.0025,0.0203,0.0427,0.0271,9.4063,143.8257
47,2022-05-13 20:15:10.959049,-0.3727,0.9886,0.2007,12.5362,-2.1449,-1.2378,0.0002,0.0007,0.0011,0.0188,0.041,0.0256,9.1479,144.0145
48,2022-05-13 20:15:16.058982,-0.368,0.9894,0.1924,12.2083,-2.0663,-1.1979,0.0047,0.0018,0.0002,0.0193,0.0403,0.0256,8.8898,144.2028
49,2022-05-13 20:15:21.155221,-0.3615,1.0066,0.1719,12.2973,-2.0241,-1.4288,0.0009,-0.0006,-0.0029,0.0156,0.042,0.0271,8.6317,144.3907
50,2022-05-13 20:15:26.260188,-0.3565,1.023,0.1677,12.0782,-1.8834,-1.8054,0.0005,-0.0,-0.001,0.0144,0.0422,0.0249,8.3731,144.5786
51,2022-05-13 20:15:32.191136,-0.353,1.0236,0.1334,12.4029,-2.1554,-2.124,0.0038,-0.0003,-0.0003,0.0137,0.0417,0.0264,8.0725,144.7966
52,2022-05-13 20:15:37.294148,-0.3556,1.0174,0.1288,12.1312,-1.9927,-2.1182,-0.0002,-0.0006,0.0012,0.0181,0.0417,0.0256,7.8138,144.9838
53,2022-05-13 20:15:42.397576,-0.3457,1.0236,0.1139,12.1744,-2.1869,-1.9538,0.002,0.001,-0.0001,0.0224,0.0425,0.0283,7.5549,145.1708
54,2022-05-13 20:15:47.502116,-0.3467,1.0023,0.1084,12.266,-2.1248,-2.379,-0.0022,0.0006,0.0023,0.0203,0.04,0.0261,7.2958,145.3576
55,2022-05-13 20:15:52.607892,-0.3503,0.998,0.0951,12.4012,-2.3157,-3.1886,0.0006,-0.0001,-0.001,0.0217,0.042,0.0261,7.0367,145.5442
56,2022-05-13 20:15:58.522223,-0.3478,0.9991,0.0881,12.5055,-2.511,-3.21,0.0006,-0.0025,-0.002,0.0185,0.0405,0.0288,6.7363,145.76
57,2022-05-13 20:16:03.617612,-0.3508,0.9993,0.0668,12.4946,-2.4476,-3.3741,0.0036,0.0018,-0.0002,0.0222,0.0412,0.0259,6.4774,145.9457
58,2022-05-13 20:16:08.719702,-0.3425,0.9879,0.0539,12.4803,-2.5873,-3.1798,-0.0009,0.0014,0.0001,0.0188,0.042,0.0281,6.2181,146.1315
59,2022-05-13 20:16:13.814724,-0.3454,0.9885,0.0469,12.2421,-2.4252,-3.6189,0.0,-0.0001,-0.0011,0.0171,0.0412,0.0271,5.9592,146.3168
60,2022-05-13 20:16:18.922054,-0.3485,1.0003,0.026,12.1295,-2.488,-3.7605,0.0033,-0.0007,0.0011,0.0146,0.04,0.0249,5.6995,146.5023
61,2022-05-13 20:16:24.805895,-0.3368,1.0121,0.0145,12.2486,-2.6503,-4.0482,0.002,0.0008,0.0015,0.0144,0.0425,0.0256,5.4002,146.7158
62,2022-05-13 20:16:29.901497,-0.3394,1.0201,0.0061,11.9013,-2.5954,-4.4929,-0.0005,0.0007,-0.0015,0.0132,0.04,0.0259,5.1409,146.9006
63,2022-05-13 20:16:35.011518,-0.341,1.0211,-0.0047,12.1947,-2.4032,-4.0828,-0.0017,0.0012,0.0006,0.0149,0.0415,0.0281,4.8808,147.0857
64,2022-05-13 20:16:40.121205,-0.3408,1.019,-0.0126,12.5251,-2.5197,-4.4931,0.0028,-0.0001,-0.0006,0.0137,0.0407,0.0278,4.6208,147.2705
65,2022-05-13 20:16:45.222368,-0.328,1.0194,-0.0114,12.5714,-2.433,-5.1864,0.0021,0.001,-0.0009,0.0166,0.0405,0.0256,4.361,147.455
66,2022-05-13 20:16:50.913987,-0.3259,1.0105,-0.0209,12.6511,-2.6243,-5.1332,0.0027,0.001,0.0009,0.0181,0.0429,0.0268,4.0712,147.6606
67,2022-05-13 20:16:56.018579,-0.3316,0.9942,-0.0443,12.4882,-2.5268,-5.3245,-0.0008,0.0012,0.0002,0.0188,0.0437,0.0281,3.8112,147.8449
68,2022-05-13 20:17:01.123960,-0.3343,0.9989,-0.0539,12.3225,-2.6673,-5.714,0.0016,0.0004,0.0011,0.0134,0.0422,0.0266,3.5511,148.029
69,2022-05-13 20:17:06.230260,-0.3374,0.985,-0.0624,12.5299,-2.7132,-6.188,0.0022,0.0024,-0.001,0.0151,0.0432,0.0256,3.2909,148.2131
70,2022-05-13 20:17:11.323813,-0.3393,0.985,-0.0616,12.4712,-2.8999,-6.2391,0.0024,0.0011,0.002,0.0205,0.04,0.0264,3.0313,148.3966
71,2022-05-13 20:17:17.053464,-0.3375,1.006,-0.0866,12.3881,-2.8637,-6.941,0.0032,0.0002,-0.0007,0.0198,0.0407,0.0261,2.7393,148.6029
72,2022-05-13 20:17:22.161329,-0.346,1.0106,-0.1112,12.1577,-2.995,-7.3827,0.0011,-0.0001,0.0002,0.022,0.0407,0.0256,2.479,148.7867
73,2022-05-13 20:17:27.269096,-0.3588,0.9922,-0.1209,12.4613,-2.728,-7.5073,0.0012,0.002,0.0006,0.0205,0.04,0.0285,2.2185,148.9705
74,2022-05-13 20:17:32.374052,-0.367,1.0096,-0.1423,12.4274,-2.8572,-6.9672,-0.0004,-0.0004,-0.0003,0.0198,0.0403,0.0268,1.9583,149.1541
75,2022-05-13 20:17:37.481027,-0.3564,1.012,-0.1685,12.5644,-3.1461,-7.4891,0.0018,-0.0001,-0.0009,0.0222,0.0415,0.0268,1.6978,149.3376
76,2022-05-13 20:17:43.228283,-0.3655,1.0175,-0.1846,12.3904,-2.2493,-7.9232,-0.0016,-0.0013,-0.0015,0.0144,0.042,0.0249,1.4048,149.5442
77,2022-05-13 20:17:48.330736,-0.3648,1.0093,-0.1979,12.4874,-2.8355,-8.3073,-0.0019,0.0011,-0.0014,0.0176,0.0415,0.0276,1.1445,149.7275
78,2022-05-13 20:17:53.436325,-0.3651,1.0139,-0.2165,12.4685,-2.8889,-8.2181,-0.0001,-0.0013,0.0001,0.0146,0.042,0.0285,0.8842,149.9108
79,2022-05-13 20:17:58.539142,-0.3552,0.9996,-0.2264,12.5774,-3.074,-8.6303,0.0,0.0012,-0.0008,0.0203,0.041,0.0261,0.624,150.094
80,2022-05-13 20:18:03.639804,-0.3643,1.0033,-0.2525,12.5614,-3.2763,-9.1363,-0.0003,0.0012,0.0007,0.0193,0.0407,0.0266,0.3638,150.2772
81,2022-05-13 20:18:09.402959,-0.3659,1.0083,-0.2672,12.3408,-3.1054,-9.5228,0.0001,-0.0007,0.0001,0.0215,0.0393,0.0264,0.0699,150.4841
82,2022-05-13 20:18:14.506711,-0.3626,1.003,-0.2787,12.3226,-3.3183,-9.9646,0.001,0.0002,-0.0011,0.019,0.0425,0.0251,-0.1904,150.6673
83,2022-05-13 20:18:19.606862,-0.364,1.007,-0.287,12.4075,-3.2671,-10.3158,0.0004,-0.0004,0.0016,0.0139,0.0412,0.0254,-0.4505,150.8504
84,2022-05-13 20:18:24.701468,-0.3708,1.0083,-0.2998,12.4697,-3.1754,-10.3849,0.0013,-0.0016,0.0001,0.0173,0.0427,0.0268,-0.7104,151.0333
85,2022-05-13 20:18:29.799545,-0.3726,1.0211,-0.3235,12.2661,-3.1092,-10.4445,0.0001,-0.0002,-0.0002,0.0163,0.0398,0.0229,-0.9703,151.2163
86,2022-05-13 20:18:35.810265,-0.3708,1.0224,-0.3327,12.4453,-3.1101,-10.2832,0.0004,-0.002,-0.0011,0.0161,0.042,0.0266,-1.2768,151.4322
87,2022-05-13 20:18:40.914174,-0.379,1.0275,-0.3483,12.3467,-3.151,-10.518,-0.0011,-0.0005,-0.0005,0.0146,0.0425,0.0259,-1.537,151.6155
88,2022-05-13 20:18:46.021960,-0.3771,1.0187,-0.3671,12.5095,-3.319,-11.2717,-0.0035,-0.0002,0.0016,0.0137,0.0417,0.0264,-1.7974,151.799
89,2022-05-13 20:18:51.120137,-0.3699,1.0142,-0.3742,12.3691,-3.292,-11.3067,-0.0001,-0.0002,-0.0011,0.0166,0.0393,0.0242,-2.0573,151.9823
90,2022-05-13 20:18:56.231740,-0.3738,1.0088,-0.3747,12.4628,-3.3845,-11.5647,0.001,0.0013,-0.0008,0.0161,0.0417,0.0256,-2.3178,152.166
91,2022-05-13 20:19:01.988767,-0.3679,1.0099,-0.38,12.5418,-3.2838,-11.781,-0.0008,-0.002,-0.0013,0.0181,0.0417,0.0264,-2.6112,152.3731
92,2022-05-13 20:19:07.096727,-0.3735,1.0096,-0.3945,12.2742,-3.1153,-11.721,0.0016,-0.001,-0.0022,0.0168,0.0415,0.0261,-2.8715,152.5569
93,2022-05-13 20:19:12.204834,-0.3717,0.999,-0.3936,12.3867,-3.4825,-11.8594,-0.0011,0.0005,0.0002,0.0159,0.0422,0.0244,-3.1317,152.7408
94,2022-05-13 20:19:17.304913,-0.3675,0.9974,-0.397,12.4649,-3.6872,-11.9627,0.0004,-0.001,0.0002,0.0205,0.0407,0.0246,-3.3915,152.9245
95,2022-05-13 20:19:22.415361,-0.3634,1.0041,-0.413,12.6821,-3.7621,-12.0305,0.0001,0.0014,0.0002,0.0188,0.0412,0.0256,-3.6517,153.1087
96,2022-05-13 20:19:28.161544,-0.356,0.9953,-0.4107,12.6635,-4.1309,-12.493,0.0001,-0.0008,-0.0004,0.0146,0.04,0.0276,-3.9443,153.3159
97,2022-05-13 20:19:33.260836,-0.3633,1.0037,-0.426,12.6064,-3.7559,-12.7575,-0.0004,-0.0007,0.0016,0.0134,0.041,0.0268,-4.2039,153.4999
98,2022-05-13 20:19:38.372120,-0.3649,1.0006,-0.427,12.2955,-3.5242,-12.5271,-0.0019,-0.0007,0.0004,0.0149,0.0425,0.0246,-4.464,153.6845
99,2022-05-13 20:19:43.471012,-0.354,1.0043,-0.4253,12.3419,-3.3797,-12.6468,-0.002,-0.0022,0.001,0.0163,0.0405,0.0239,-4.7234,153.8688
100,2022-05-13 20:19:48.581573,-0.3553,0.9972,-0.4424,12.3745,-3.3984,-12.9271,-0.0031,0.0002,-0.0002,0.0146,0.0422,0.0259,-4.9834,154.0537
101,2022-05-13 20:19:54.314525,-0.3492,1.0023,-0.4528,12.1293,-3.4619,-13.662,0.0024,-0.0016,-0.0013,0.0149,0.0415,0.0249,-5.2749,154.2612
102,2022-05-13 20:19:59.422495,-0.3616,1.0016,-0.4631,12.3282,-3.4045,-13.8477,-0.0022,0.0012,0.0002,0.0149,0.0417,0.0281,-5.5345,154.4463
103,2022-05-13 20:20:04.523848,-0.3595,0.9981,-0.4581,12.5979,-3.4687,-13.5076,0.0018,-0.0019,-0.0004,0.0215,0.0405,0.0259,-5.7938,154.6314
104,2022-05-13 20:20:09.631192,-0.3644,1.0068,-0.4691,12.5797,-3.5325,-13.7424,-0.0004,-0.0012,0.0004,0.0183,0.041,0.0268,-6.0532,154.8168
105,2022-05-13 20:20:14.725062,-0.3732,0.999,-0.4756,12.5243,-3.5957,-13.9631,0.0027,0.0022,0.0013,0.0166,0.0429,0.0259,-6.3119,155.002
106,2022-05-13 20:20:20.469696,-0.3847,0.9899,-0.4671,12.4753,-3.4711,-14.254,0.0015,-0.0015,-0.0013,0.019,0.0405,0.0276,-6.6036,155.211
107,2022-05-13 20:20:25.569432,-0.382,0.9994,-0.4717,12.3924,-3.5233,-14.4707,-0.0028,-0.0018,0.0003,0.0205,0.0425,0.0264,-6.8623,155.3968
108,2022-05-13 20:20:30.673309,-0.3829,0.998,-0.4855,12.4055,-3.5953,-15.0878,-0.0018,-0.0024,0.0023,0.0176,0.0422,0.0256,-7.1213,155.583
109,2022-05-13 20:20:35.770949,-0.3831,1.0037,-0.4937,12.6003,-3.9016,-15.1016,-0.0018,-0.0011,-0.0004,0.0146,0.0422,0.0249,-7.3798,155.7691
110,2022-05-13 20:20:40.874438,-0.3876,1.0079,-0.4948,12.7306,-4.0228,-15.3581,0.0001,0.0011,0.0017,0.0178,0.0415,0.0244,-7.6384,155.9558
111,2022-05-13 20:20:46.811607,-0.3801,0.9933,-0.5011,12.7343,-4.0024,-15.761,0.0004,0.002,-0.0008,0.0139,0.0415,0.0251,-7.9392,156.1732
112,2022-05-13 20:20:51.911425,-0.3666,0.9928,-0.5149,12.6981,-3.6524,-15.8117,0.0,0.0005,0.0002,0.0159,0.0403,0.0273,-8.1975,156.3602
113,2022-05-13 20:20:57.020842,-0.378,0.988,-0.5238,12.6178,-3.6448,-15.4897,0.0022,0.0005,-0.0001,0.0139,0.0417,0.0268,-8.4562,156.5479
114,2022-05-13 20:21:02.126466,-0.38,0.9824,-0.5299,12.4814,-3.694,-15.812,0.0004,-0.0018,0.001,0.0217,0.0412,0.0244,-8.7145,156.7356
115,2022-05-13 20:21:07.220984,-0.382,0.9825,-0.5387,12.639,-3.7296,-15.6302,-0.0038,0.0003,0.0014,0.0203,0.0425,0.0281,-8.9721,156.9233
116,2022-05-13 20:21:12.934948,-0.3901,0.9798,-0.5442,12.7107,-3.9761,-16.5078,-0.0018,-0.0006,-0.0005,0.0161,0.0415,0.0259,-9.2609,157.1341
117,2022-05-13 20:21:18.039488,-0.3849,0.9813,-0.5443,12.8704,-4.0379,-16.8491,0.0018,0.0033,-0.0005,0.0205,0.0415,0.0244,-9.5188,157.3227
118,2022-05-13 20:21:23.146712,-0.3847,0.9871,-0.5507,12.9366,-4.2293,-17.3336,0.0006,-0.0015,-0.0005,0.02,0.0407,0.0266,-9.7767,157.5118
119,2022-05-13 20:21:28.253209,-0.3871,0.9935,-0.5597,13.0307,-4.061,-17.4438,-0.0012,0.0002,0.0004,0.019,0.0403,0.0278,-10.0344,157.7012
120,2022-05-13 20:21:33.356862,-0.3844,0.9832,-0.558,13.092,-3.9875,-17.575,0.0006,-0.0004,0.0001,0.0215,0.0403,0.0285,-10.2917,157.8907
121,2022-05-13 20:21:39.068261,-0.3805,0.968,-0.5548,13.1162,-4.081,-17.7536,-0.0015,0.0005,0.0001,0.0161,0.041,0.0259,-10.5796,158.1033
122,2022-05-13 20:21:44.170998,-0.3753,0.9734,-0.5631,13.1258,-4.0783,-17.9599,0.0015,0.002,0.0004,0.02,0.0388,0.0251,-10.8367,158.2935
123,2022-05-13 20:21:49.269445,-0.3815,0.975,-0.5803,13.1469,-3.819,-17.9438,-0.0024,-0.0011,0.0006,0.019,0.042,0.0266,-11.0933,158.484
124,2022-05-13 20:21:54.371067,-0.3775,0.9861,-0.5943,13.0427,-3.9164,-18.2288,0.0021,-0.0001,0.0012,0.0159,0.0417,0.0256,-11.35,158.6749
125,2022-05-13 20:21:59.481990,-0.3741,0.9843,-0.5954,13.115,-3.9424,-18.7928,0.0024,0.0002,-0.0015,0.0159,0.0425,0.0242,-11.607,158.8666
126,2022-05-13 20:22:05.181499,-0.3678,0.9879,-0.6151,13.3383,-3.896,-19.105,0.0006,-0.0022,0.0004,0.0156,0.0417,0.0244,-11.8933,159.0807
127,2022-05-13 20:22:10.277419,-0.3704,0.9952,-0.6192,13.2016,-3.9544,-19.26,0.0009,-0.0015,-0.0006,0.0195,0.041,0.0256,-12.1492,159.2726
128,2022-05-13 20:22:15.387017,-0.3755,1.0043,-0.6351,13.1206,-4.0939,-19.5024,0.0006,-0.0009,0.0004,0.0178,0.041,0.0261,-12.4056,159.4655
129,2022-05-13 20:22:20.497372,-0.3689,1.0064,-0.6335,13.5025,-4.0336,-19.6825,0.0023,-0.0018,-0.0008,0.0176,0.0405,0.0229,-12.6618,159.6588
130,2022-05-13 20:22:25.607083,-0.3692,1.0061,-0.644,13.4946,-3.979,-19.6851,-0.001,0.0007,0.0,0.0156,0.041,0.0264,-12.9178,159.8525
131,2022-05-13 20:22:31.562588,-0.3603,0.9972,-0.6422,13.399,-3.5098,-19.8381,0.0026,-0.0002,0.0012,0.0171,0.042,0.0256,-13.216,160.0787
132,2022-05-13 20:22:36.671887,-0.3612,0.9928,-0.6447,13.5419,-3.781,-20.335,-0.0007,0.0003,0.0012,0.0151,0.0412,0.0266,-13.4715,160.2733
133,2022-05-13 20:22:41.774728,-0.3628,0.9876,-0.6483,13.4832,-3.5572,-20.8773,-0.003,-0.0009,-0.0,0.0217,0.04,0.0259,-13.7267,160.4682
134,2022-05-13 20:22:46.882540,-0.3688,0.995,-0.6504,13.7414,-4.3867,-21.0287,-0.0,0.0001,0.0003,0.0198,0.0415,0.0254,-13.9817,160.6636
135,2022-05-13 20:22:51.989554,-0.3649,0.9941,-0.6574,14.0675,-3.9667,-21.1023,-0.0002,0.0007,-0.0012,0.0171,0.0412,0.0283,-14.2366,160.8596
136,2022-05-13 20:22:57.687650,-0.3561,0.9865,-0.6654,13.712,-3.9921,-21.5218,-0.0029,0.0007,0.0007,0.0207,0.04,0.0288,-14.5207,161.0787
137,2022-05-13 20:23:02.786677,-0.3495,0.9898,-0.6656,13.5503,-4.0374,-21.8233,-0.0008,-0.0002,-0.0008,0.0178,0.042,0.0276,-14.7748,161.2753
138,2022-05-13 20:23:07.897085,-0.3474,0.9924,-0.6686,13.6032,-4.1673,-21.6923,0.0004,-0.002,0.0007,0.0181,0.0407,0.029,-15.0291,161.4729
139,2022-05-13 20:23:12.998991,-0.3495,0.9969,-0.6664,14.0467,-4.07,-22.0008,-0.0002,0.0003,0.0022,0.0156,0.042,0.0261,-15.2829,161.6707
140,2022-05-13 20:23:18.097701,-0.351,1.0114,-0.6626,14.1962,-3.8607,-22.0051,-0.0002,0.0,0.0003,0.0156,0.0403,0.0249,-15.5362,161.8688
141,2022-05-13 20:23:23.804344,-0.341,1.012,-0.6608,14.3429,-3.7891,-22.8485,-0.0002,0.0012,0.0019,0.0146,0.0412,0.0244,-15.8195,162.0913
142,2022-05-13 20:23:28.893645,-0.3333,1.0074,-0.6698,14.3218,-3.5128,-22.8541,0.0013,-0.0012,-0.0014,0.02,0.0407,0.0264,-16.0719,162.2902
143,2022-05-13 20:23:34.000365,-0.3344,1.007,-0.6768,14.4232,-3.5629,-22.6973,0.0001,-0.0003,-0.0005,0.0163,0.0422,0.0285,-16.3249,162.4903
144,2022-05-13 20:23:39.099373,-0.3361,1.0021,-0.6773,14.2687,-3.6481,-23.0267,-0.0019,-0.0021,0.0016,0.0159,0.0422,0.0268,-16.5773,162.6908
145,2022-05-13 20:23:44.206457,-0.3277,1.01,-0.6621,14.304,-3.436,-23.0087,0.0016,-0.0009,-0.0006,0.0144,0.041,0.0251,-16.8298,162.8921
146,2022-05-13 20:23:49.901053,-0.3248,1.0028,-0.6692,14.4495,-3.5729,-23.4391,0.0019,-0.0003,0.0021,0.0178,0.0417,0.0261,-17.1111,163.1172
147,2022-05-13 20:23:55.011831,-0.3188,1.0153,-0.6824,14.5779,-3.4954,-23.4888,0.0018,0.0005,0.0012,0.0163,0.0412,0.0256,-17.3633,163.3199
148,2022-05-13 20:24:00.121804,-0.3179,1.0167,-0.6793,14.6494,-3.6776,-23.9551,0.0009,-0.0001,-0.0007,0.0151,0.0398,0.0266,-17.6151,163.5232
149,2022-05-13 20:24:05.232510,-0.3144,1.0283,-0.6832,14.57,-3.7911,-24.1924,0.0006,0.0017,0.0009,0.0212,0.0405,0.0261,-17.8668,163.7271
150,2022-05-13 20:24:10.339204,-0.3155,1.0324,-0.697,14.6689,-3.7793,-24.265,-0.0006,-0.0035,-0.0016,0.0154,0.042,0.0237,-18.118,163.9315
151,2022-05-13 20:24:16.026468,-0.3148,1.0426,-0.7064,14.7602,-3.8927,-24.45,0.0003,-0.0023,-0.0016,0.0205,0.0425,0.0254,-18.3974,164.1599
